,Index,Date,Year,Epi-week,Epi-day,Counts,Time-index
0,0,2015-01-01,2015,53,5,0,-2
1,1,2015-01-02,2015,53,6,0,-1
2,2,2015-01-03,2015,53,7,0,0
3,3,2015-01-04,2015,1,1,0,1
4,4,2015-01-05,2015,1,2,0,2
5,5,2015-01-06,2015,1,3,0,3
6,6,2015-01-07,2015,1,4,7,4
7,7,2015-01-08,2015,1,5,9,5
8,8,2015-01-09,2015,1,6,9,6
9,9,2015-01-10,2015,1,7,0,7
10,10,2015-01-11,2015,2,1,0,8
11,11,2015-01-12,2015,2,2,14,9
12,12,2015-01-13,2015,2,3,15,10
13,13,2015-01-14,2015,2,4,2,11
14,14,2015-01-15,2015,2,5,13,12
15,15,2015-01-16,2015,2,6,11,13
16,16,2015-01-17,2015,2,7,0,14
17,17,2015-01-18,2015,3,1,0,15
18,18,2015-01-19,2015,3,2,4,16
19,19,2015-01-20,2015,3,3,19,17
20,20,2015-01-21,2015,3,4,12,18
21,21,2015-01-22,2015,3,5,11,19
22,22,2015-01-23,2015,3,6,7,20
23,23,2015-01-24,2015,3,7,0,21
24,24,2015-01-25,2015,4,1,0,22
25,25,2015-01-26,2015,4,2,20,23
26,26,2015-01-27,2015,4,3,20,24
27,27,2015-01-28,2015,4,4,6,25
28,28,2015-01-29,2015,4,5,15,26
29,29,2015-01-30,2015,4,6,12,27
30,30,2015-01-31,2015,4,7,0,28
31,31,2015-02-01,2015,5,1,0,29
32,32,2015-02-02,2015,5,2,0,30
33,33,2015-02-03,2015,5,3,20,31
34,34,2015-02-04,2015,5,4,11,32
35,35,2015-02-05,2015,5,5,14,33
36,36,2015-02-06,2015,5,6,14,34
37,37,2015-02-07,2015,5,7,0,35
38,38,2015-02-08,2015,6,1,0,36
39,39,2015-02-09,2015,6,2,10,37
40,40,2015-02-10,2015,6,3,15,38
41,41,2015-02-11,2015,6,4,9,39
42,42,2015-02-12,2015,6,5,9,40
43,43,2015-02-13,2015,6,6,12,41
44,44,2015-02-14,2015,6,7,0,42
45,45,2015-02-15,2015,7,1,0,43
46,46,2015-02-16,2015,7,2,15,44
47,47,2015-02-17,2015,7,3,6,45
48,48,2015-02-18,2015,7,4,6,46
49,49,2015-02-19,2015,7,5,12,47
50,50,2015-02-20,2015,7,6,7,48
51,51,2015-02-21,2015,7,7,0,49
52,52,2015-02-22,2015,8,1,0,50
53,53,2015-02-23,2015,8,2,8,51
54,54,2015-02-24,2015,8,3,10,52
55,55,2015-02-25,2015,8,4,8,53
56,56,2015-02-26,2015,8,5,14,54
57,57,2015-02-27,2015,8,6,14,55
58,58,2015-02-28,2015,8,7,0,56
59,59,2015-03-01,2015,9,1,0,57
60,60,2015-03-02,2015,9,2,6,58
61,61,2015-03-03,2015,9,3,5,59
62,62,2015-03-04,2015,9,4,9,60
63,63,2015-03-05,2015,9,5,11,61
64,64,2015-03-06,2015,9,6,12,62
65,65,2015-03-07,2015,9,7,0,63
66,66,2015-03-08,2015,10,1,0,64
67,67,2015-03-09,2015,10,2,4,65
68,68,2015-03-10,2015,10,3,7,66
69,69,2015-03-11,2015,10,4,9,67
70,70,2015-03-12,2015,10,5,4,68
71,71,2015-03-13,2015,10,6,1,69
72,72,2015-03-14,2015,10,7,0,70
73,73,2015-03-15,2015,11,1,0,71
74,74,2015-03-16,2015,11,2,0,72
75,75,2015-03-17,2015,11,3,5,73
76,76,2015-03-18,2015,11,4,5,74
77,77,2015-03-19,2015,11,5,3,75
78,78,2015-03-20,2015,11,6,3,76
79,79,2015-03-21,2015,11,7,0,77
80,80,2015-03-22,2015,12,1,0,78
81,81,2015-03-23,2015,12,2,4,79
82,82,2015-03-24,2015,12,3,8,80
83,83,2015-03-25,2015,12,4,6,81
84,84,2015-03-26,2015,12,5,4,82
85,85,2015-03-27,2015,12,6,8,83
86,86,2015-03-28,2015,12,7,0,84
87,87,2015-03-29,2015,13,1,0,85
88,88,2015-03-30,2015,13,2,1,86
89,89,2015-03-31,2015,13,3,1,87
90,90,2015-04-01,2015,13,4,2,88
91,91,2015-04-02,2015,13,5,0,89
92,92,2015-04-03,2015,13,6,0,90
93,93,2015-04-04,2015,13,7,0,91
94,94,2015-04-05,2015,14,1,0,92
95,95,2015-04-06,2015,14,2,2,93
96,96,2015-04-07,2015,14,3,4,94
97,97,2015-04-08,2015,14,4,2,95
98,98,2015-04-09,2015,14,5,4,96
99,99,2015-04-10,2015,14,6,6,97
100,100,2015-04-11,2015,14,7,0,98
101,101,2015-04-12,2015,15,1,0,99
102,102,2015-04-13,2015,15,2,8,100
103,103,2015-04-14,2015,15,3,5,101
104,104,2015-04-15,2015,15,4,3,102
105,105,2015-04-16,2015,15,5,1,103
106,106,2015-04-17,2015,15,6,6,104
107,107,2015-04-18,2015,15,7,0,105
108,108,2015-04-19,2015,16,1,0,106
109,109,2015-04-20,2015,16,2,4,107
110,110,2015-04-21,2015,16,3,5,108
111,111,2015-04-22,2015,16,4,5,109
112,112,2015-04-23,2015,16,5,7,110
113,113,2015-04-24,2015,16,6,3,111
114,114,2015-04-25,2015,16,7,0,112
115,115,2015-04-26,2015,17,1,0,113
116,116,2015-04-27,2015,17,2,7,114
117,117,2015-04-28,2015,17,3,1,115
118,118,2015-04-29,2015,17,4,3,116
119,119,2015-04-30,2015,17,5,3,117
120,120,2015-05-01,2015,17,6,0,118
121,121,2015-05-02,2015,17,7,0,119
122,122,2015-05-03,2015,18,1,0,120
123,123,2015-05-04,2015,18,2,2,121
124,124,2015-05-05,2015,18,3,0,122
125,125,2015-05-06,2015,18,4,3,123
126,126,2015-05-07,2015,18,5,6,124
127,127,2015-05-08,2015,18,6,4,125
128,128,2015-05-09,2015,18,7,0,126
129,129,2015-05-10,2015,19,1,0,127
130,130,2015-05-11,2015,19,2,1,128
131,131,2015-05-12,2015,19,3,2,129
132,132,2015-05-13,2015,19,4,6,130
133,133,2015-05-14,2015,19,5,4,131
134,134,2015-05-15,2015,19,6,4,132
135,135,2015-05-16,2015,19,7,0,133
136,136,2015-05-17,2015,20,1,0,134
137,137,2015-05-18,2015,20,2,2,135
138,138,2015-05-19,2015,20,3,3,136
139,139,2015-05-20,2015,20,4,2,137
140,140,2015-05-21,2015,20,5,4,138
141,141,2015-05-22,2015,20,6,10,139
142,142,2015-05-23,2015,20,7,0,140
143,143,2015-05-24,2015,21,1,0,141
144,144,2015-05-25,2015,21,2,2,142
145,145,2015-05-26,2015,21,3,4,143
146,146,2015-05-27,2015,21,4,3,144
147,147,2015-05-28,2015,21,5,5,145
148,148,2015-05-29,2015,21,6,7,146
149,149,2015-05-30,2015,21,7,0,147
150,150,2015-05-31,2015,22,1,0,148
151,151,2015-06-01,2015,22,2,6,149
152,152,2015-06-02,2015,22,3,8,150
153,153,2015-06-03,2015,22,4,4,151
154,154,2015-06-04,2015,22,5,2,152
155,155,2015-06-05,2015,22,6,11,153
156,156,2015-06-06,2015,22,7,0,154
157,157,2015-06-07,2015,23,1,0,155
158,158,2015-06-08,2015,23,2,3,156
159,159,2015-06-09,2015,23,3,3,157
160,160,2015-06-10,2015,23,4,4,158
161,161,2015-06-11,2015,23,5,1,159
162,162,2015-06-12,2015,23,6,1,160
163,163,2015-06-13,2015,23,7,0,161
164,164,2015-06-14,2015,24,1,0,162
165,165,2015-06-15,2015,24,2,0,163
166,166,2015-06-16,2015,24,3,4,164
167,167,2015-06-17,2015,24,4,1,165
168,168,2015-06-18,2015,24,5,3,166
169,169,2015-06-19,2015,24,6,0,167
170,170,2015-06-20,2015,24,7,0,168
171,171,2015-06-21,2015,25,1,0,169
172,172,2015-06-22,2015,25,2,1,170
173,173,2015-06-23,2015,25,3,1,171
174,174,2015-06-24,2015,25,4,2,172
175,175,2015-06-25,2015,25,5,6,173
176,176,2015-06-26,2015,25,6,0,174
177,177,2015-06-27,2015,25,7,0,175
178,178,2015-06-28,2015,26,1,0,176
179,179,2015-06-29,2015,26,2,1,177
180,180,2015-06-30,2015,26,3,1,178
181,181,2015-07-01,2015,26,4,2,179
182,182,2015-07-02,2015,26,5,3,180
183,183,2015-07-03,2015,26,6,2,181
184,184,2015-07-04,2015,26,7,0,182
185,185,2015-07-05,2015,27,1,0,183
186,186,2015-07-06,2015,27,2,1,184
187,187,2015-07-07,2015,27,3,1,185
188,188,2015-07-08,2015,27,4,0,186
189,189,2015-07-09,2015,27,5,5,187
190,190,2015-07-10,2015,27,6,3,188
191,191,2015-07-11,2015,27,7,0,189
192,192,2015-07-12,2015,28,1,0,190
193,193,2015-07-13,2015,28,2,2,191
194,194,2015-07-14,2015,28,3,3,192
195,195,2015-07-15,2015,28,4,1,193
196,196,2015-07-16,2015,28,5,4,194
197,197,2015-07-17,2015,28,6,2,195
198,198,2015-07-18,2015,28,7,0,196
199,199,2015-07-19,2015,29,1,0,197
200,200,2015-07-20,2015,29,2,1,198
201,201,2015-07-21,2015,29,3,1,199
202,202,2015-07-22,2015,29,4,4,200
203,203,2015-07-23,2015,29,5,2,201
204,204,2015-07-24,2015,29,6,1,202
205,205,2015-07-25,2015,29,7,0,203
206,206,2015-07-26,2015,30,1,0,204
207,207,2015-07-27,2015,30,2,1,205
208,208,2015-07-28,2015,30,3,3,206
209,209,2015-07-29,2015,30,4,5,207
210,210,2015-07-30,2015,30,5,2,208
211,211,2015-07-31,2015,30,6,2,209
212,212,2015-08-01,2015,30,7,0,210
213,213,2015-08-02,2015,31,1,0,211
214,214,2015-08-03,2015,31,2,2,212
215,215,2015-08-04,2015,31,3,8,213
216,216,2015-08-05,2015,31,4,3,214
217,217,2015-08-06,2015,31,5,3,215
218,218,2015-08-07,2015,31,6,4,216
219,219,2015-08-08,2015,31,7,0,217
220,220,2015-08-09,2015,32,1,0,218
221,221,2015-08-10,2015,32,2,1,219
222,222,2015-08-11,2015,32,3,3,220
